,movie,year,imdb,
0,The Godfather,1972,9.2,10
1,Se7en,1995,8.6,10
2,Inception,2010,8.8,10
3,Memento,2000,8.4,10
4,The Lion King,1994,8.5,10
5,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,10
6,Alien,1979,8.4,10
7,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,9
8,Mulan,1998,7.6,9
9,Kill Bill: Vol. 1,2003,8.1,9
10,The Lord of the Rings: The Two Towers,2002,8.7,9
11,Blade Runner 2049,2017,8,9
12,The Shawshank Redemption,1994,9.3,9
13,Aliens,1986,8.3,9
14,The Others,2001,7.6,9
15,The Prestige,2006,8.5,9
16,The Grand Budapest Hotel,2014,8.1,9
17,Gladiator,2000,8.5,9
18,The Lord of the Rings: The Return of the King,2003,8.9,9
19,The Dark Knight,2008,9,9
20,American History X,1998,8.5,9
21,The Last Emperor,1987,7.7,9
22,Inside Out,2015,8.1,9
23,Blade Runner,1982,8.1,9
24,1917,2019,8.3,9
25,The Godfather: Part II,1974,9,9
26,The Fall,2006,7.9,8
27,Hotel Rwanda,2004,8.1,8
28,Aladdin,1992,8,8
29,Coraline,2009,7.7,8
30,Beauty and the Beast,1991,8,8
31,Django Unchained,2012,8.4,8
32,Moon,2009,7.9,8
33,Twelve Monkeys,1995,8,8
34,The Shining,1980,8.4,8
35,Hotaru no haka,1988,8.5,8
36,Pulp Fiction,1994,8.9,8
37,Star Wars,1977,8.6,8
38,Batman Begins,2005,8.2,8
39,Snatch,2000,8.3,8
40,Apocalypto,2006,7.8,8
41,Gisaengchung,2019,8.6,8
42,Schindler's List,1993,8.9,8
43,Harry Potter and the Prisoner of Azkaban,2004,7.9,8
44,The Departed,2006,8.5,8
45,The Descent,2005,7.2,8
46,Fight Club,1999,8.8,8
47,Joker,2019,8.5,8
48,Sinister,2012,6.8,8
49,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,8
50,Der Untergang,2004,8.2,8
51,Toy Story 3,2010,8.3,8
52,WALL·E,2008,8.4,8
53,Shutter Island,2010,8.1,8
54,The Usual Suspects,1995,8.5,8
55,Rosemary's Baby,1968,8,8
56,12 Years a Slave,2013,8.1,8
57,Reservoir Dogs,1992,8.3,8
58,The Man Who Would Be King,1975,7.8,8
59,Toy Story,1995,8.3,8
60,La vita è bella,1997,8.6,8
61,Jodaeiye Nader az Simin,2011,8.3,8
62,Rise of Empires: Ottoman,2020,8,8
63,Apocalypse Now,1979,8.4,8
64,Goodfellas,1990,8.7,8
65,The Matrix,1999,8.7,8
66,Dark City,1998,7.6,8
67,Up,2009,8.2,8
68,The Silence of the Lambs,1991,8.6,8
69,One Flew Over the Cuckoo's Nest,1975,8.7,8
70,Heat,1995,8.2,7
71,Toy Story 2,1999,7.9,7
72,How to Train Your Dragon,2010,8.1,7
73,Star Wars: Episode VI - Return of the Jedi,1983,8.3,7
